Name,Tenant domain,Container,Source,Group email,Created time,Last activity date,Description,Group type,Viva Engage connection,Hide from address list,Aliases,Team status,Synced from on-premises,Security enabled,Membership type,Privacy,Roles assignable,Roles,Site URL,Mailbox size (GB),Storage used (GB),Sensitivity label,Allow external senders to email this Group,Owners,Members,First EnPower registration time,Group ID,Registered,Primary contact,Secondary contact,Membership assignment method,Claim status,Contact election profile,Renewal profile,Phase,Phase assignee,Renewal start time,Renewal due date,Next renewal date,Last renewal time,Last renewed by,B-Department,Please Select a Site Type to Start the Site Creation Request,B-Library Short Name,B-Library name,Department,Allow External Sharing-choice,EDRMS Site Type,Please select: Lock Site / Unlock Site,Library Short Name,Library name,Please Select a Library Type to Start the Library Creation Request,Procurement library,Allow External Sharing,RefinableString00,Department22,Site Short Name,DRM Department,Business Need,Desired Outcomes,Key Risks and Considerations,Content Category,Site URL,Remarks,Records Manager,Project Owner,External Sharing Allowed?,Choose Project Site Template,Choose Site Template,Please provide business reasons for having site site.,Segment,Division,Region,Manager,Purpose of Use,Request Reason,External Company Name,GALines,Archiver,Delete Site,D- Change list setting
prj_Group Site-731010,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731010@7rkd12.onmicrosoft.com,8/4/2026 5:24:43 PM,-,prj_Group Site-731010,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/prj_groupsite-731010,0.00,0.00,None,Off,1,1,8/4/2026 7:27:45 PM,ff72090f-0652-4b5f-b526-9d1d2fdf93bb,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731011,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731011@7rkd12.onmicrosoft.com,8/4/2026 5:24:36 PM,-,prj_Group Site-731011,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731011,0.00,0.00,None,Off,1,1,8/5/2026 9:14:15 AM,8bf3c1d4-12bf-4337-98db-08bc46e7c402,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731012,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731012@7rkd12.onmicrosoft.com,8/4/2026 5:24:29 PM,-,prj_Group Site-731012,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731012,0.00,0.00,None,Off,1,1,8/5/2026 9:14:15 AM,2f18cdfd-3188-4641-950b-3687e4b01ff7,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731013,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731013@7rkd12.onmicrosoft.com,8/4/2026 5:24:21 PM,-,prj_Group Site-731013,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731013,0.00,0.00,None,Off,1,1,8/5/2026 9:14:15 AM,674b984e-061b-407a-ad8c-3b8600ea60d8,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731014,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731014@7rkd12.onmicrosoft.com,8/4/2026 5:24:19 PM,-,prj_Group Site-731014,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/prj_groupsite-731014,0.00,0.00,None,Off,1,1,8/4/2026 7:28:26 PM,44935bfc-1022-4c51-858a-cbda6a0e2aa4,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731015,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731015@7rkd12.onmicrosoft.com,8/4/2026 5:24:12 PM,-,prj_Group Site-731015,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731015,0.00,0.00,None,Off,1,1,8/5/2026 9:14:14 AM,a5560e2e-1eee-4ded-b97d-7c84329f4c89,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731016,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731016@7rkd12.onmicrosoft.com,8/4/2026 5:24:05 PM,-,prj_Group Site-731016,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731016,0.00,0.00,None,Off,1,1,8/5/2026 9:14:14 AM,ac0284ce-9100-4a57-b3a0-085871208b09,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731017,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731017@7rkd12.onmicrosoft.com,8/4/2026 5:24:02 PM,-,prj_Group Site-731017,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/prj_groupsite-731017,0.00,0.00,None,Off,1,1,8/4/2026 7:26:59 PM,f0fa968f-af6c-4942-b1e9-22ef314843b3,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731018,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731018@7rkd12.onmicrosoft.com,8/4/2026 5:23:59 PM,-,prj_Group Site-731018,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/prj_groupsite-731018,0.00,0.00,None,Off,1,1,8/4/2026 7:28:52 PM,98febbc4-5a2e-4bcd-abb7-b667625f442d,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731020,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731020@7rkd12.onmicrosoft.com,8/4/2026 5:23:50 PM,-,prj_Group Site-731020,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731020,0.00,0.00,None,Off,1,1,8/5/2026 9:14:14 AM,f82d024a-463b-4ec3-9713-6f58f8e00584,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731021,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731021@7rkd12.onmicrosoft.com,8/4/2026 5:23:43 PM,-,prj_Group Site-731021,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731021,0.00,0.00,None,Off,1,1,8/5/2026 9:14:14 AM,23cb389f-e40b-4768-8869-96e93d8c1b53,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731022,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731022@7rkd12.onmicrosoft.com,8/4/2026 5:23:37 PM,-,prj_Group Site-731022,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731022,0.00,0.00,None,Off,1,1,8/5/2026 9:14:15 AM,ff0e8cd0-4754-4b16-9ad7-1e594b002b5c,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731023,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731023@7rkd12.onmicrosoft.com,8/4/2026 5:23:31 PM,-,prj_Group Site-731023,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731023,0.00,0.00,None,Off,1,1,8/5/2026 9:14:14 AM,4f3a4973-667d-4efd-a074-e9978ec12437,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731024,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731024@7rkd12.onmicrosoft.com,8/4/2026 5:23:28 PM,-,prj_Group Site-731024,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/prj_groupsite-731024,0.00,0.00,None,Off,1,1,8/4/2026 7:27:04 PM,6ed9117f-ac4a-450b-bd32-a29bed3fcf70,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731025,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731025@7rkd12.onmicrosoft.com,8/4/2026 5:23:21 PM,-,prj_Group Site-731025,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731025,0.00,0.00,None,Off,1,1,8/5/2026 9:14:15 AM,9896cebd-8d3d-4c2f-bd13-d892f4a2a43e,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731026,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731026@7rkd12.onmicrosoft.com,8/4/2026 5:23:15 PM,-,prj_Group Site-731026,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731026,0.00,0.00,None,Off,1,1,8/5/2026 9:14:15 AM,d962e06d-9d2e-4eda-bd7e-f5ca7db752b6,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731028,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731028@7rkd12.onmicrosoft.com,8/4/2026 5:23:06 PM,-,prj_Group Site-731028,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731028,0.00,0.00,None,Off,1,1,8/5/2026 9:14:14 AM,fe922d5b-3116-4ab9-aedb-ff1d519bbd2b,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731029,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731029@7rkd12.onmicrosoft.com,8/4/2026 5:22:59 PM,-,prj_Group Site-731029,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731029,0.00,0.00,None,Off,1,1,8/5/2026 9:14:15 AM,61d1a6ae-d932-4ab7-9ba1-1608e85f9898,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731030,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731030@7rkd12.onmicrosoft.com,8/4/2026 5:22:56 PM,-,prj_Group Site-731030,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/prj_groupsite-731030,0.00,0.00,None,Off,1,1,8/4/2026 7:28:39 PM,bd482cf5-e2a4-412a-8c92-f2b35fd62d4f,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731031,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731031@7rkd12.onmicrosoft.com,8/4/2026 5:22:53 PM,-,prj_Group Site-731031,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/prj_groupsite-731031,0.00,0.00,None,Off,1,1,8/4/2026 7:27:17 PM,d4741d45-d8c5-4acb-a2c7-c5fee1110654,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731032,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731032@7rkd12.onmicrosoft.com,8/4/2026 5:22:46 PM,-,prj_Group Site-731032,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731032,0.00,0.00,None,Off,1,1,8/5/2026 9:14:14 AM,54c88e3b-863c-488a-bca8-c338bdcb599e,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731033,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731033@7rkd12.onmicrosoft.com,8/4/2026 5:22:40 PM,-,prj_Group Site-731033,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731033,0.00,0.00,None,Off,1,1,8/5/2026 9:14:15 AM,c7402ab6-b24a-4153-b74a-363dfc136b62,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731034,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731034@7rkd12.onmicrosoft.com,8/4/2026 5:22:33 PM,-,prj_Group Site-731034,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731034,0.00,0.00,None,Off,1,1,8/5/2026 9:14:14 AM,6437395c-b624-4b29-b366-89b90e55d324,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731035,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731035@7rkd12.onmicrosoft.com,8/4/2026 5:22:30 PM,-,prj_Group Site-731035,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/prj_groupsite-731035,0.00,0.00,None,Off,1,1,8/4/2026 7:28:02 PM,97cde4f7-5b06-4fcc-8d36-60e60f87d471,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731036,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731036@7rkd12.onmicrosoft.com,8/4/2026 5:22:27 PM,-,prj_Group Site-731036,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/prj_groupsite-731036,0.00,0.00,None,Off,1,1,8/4/2026 7:26:42 PM,16b42be4-9efe-4787-879a-37dee423ecc4,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731037,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731037@7rkd12.onmicrosoft.com,8/4/2026 5:22:20 PM,-,prj_Group Site-731037,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731037,0.00,0.00,None,Off,1,1,8/5/2026 9:14:14 AM,8a39fd7d-d09e-48d1-86cf-d1d6d6c5f842,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731038,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731038@7rkd12.onmicrosoft.com,8/4/2026 5:22:14 PM,-,prj_Group Site-731038,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731038,0.00,0.00,None,Off,1,1,8/5/2026 9:14:14 AM,8e14826e-a058-4d94-973e-46450ac7c4e6,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731039,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731039@7rkd12.onmicrosoft.com,8/4/2026 5:22:07 PM,-,prj_Group Site-731039,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731039,0.00,0.00,None,Off,1,1,8/5/2026 9:14:14 AM,fdc96ed4-474a-4ee1-ae5d-8df843e5be53,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731040,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731040@7rkd12.onmicrosoft.com,8/4/2026 5:22:00 PM,-,prj_Group Site-731040,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731040,0.00,0.00,None,Off,1,1,8/5/2026 9:14:15 AM,8c5b323e-cb6e-4088-ad8b-c33c3b7557c7,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731041,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731041@7rkd12.onmicrosoft.com,8/4/2026 5:21:53 PM,-,prj_Group Site-731041,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731041,0.00,0.00,None,Off,1,1,8/5/2026 9:14:15 AM,8beffdb8-8490-411b-9769-61003e3325c5,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731042,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731042@7rkd12.onmicrosoft.com,8/4/2026 5:21:46 PM,-,prj_Group Site-731042,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731042,0.00,0.00,None,Off,1,1,8/5/2026 9:14:15 AM,ffc0fd01-77e9-4391-a66d-36bcb22d561d,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731043,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731043@7rkd12.onmicrosoft.com,8/4/2026 5:21:40 PM,-,prj_Group Site-731043,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731043,0.00,0.00,None,Off,1,1,8/5/2026 9:14:14 AM,0c5855e4-d871-43da-a1fc-3e3f46f1afdf,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731044,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731044@7rkd12.onmicrosoft.com,8/4/2026 5:21:33 PM,-,prj_Group Site-731044,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731044,0.00,0.00,None,Off,1,1,8/5/2026 9:14:15 AM,902a29dc-a96a-4536-9d77-1adf274f8011,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731045,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731045@7rkd12.onmicrosoft.com,8/4/2026 5:21:27 PM,-,prj_Group Site-731045,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731045,0.00,0.00,None,Off,1,1,8/5/2026 9:14:14 AM,a11747f5-f2f0-4529-bd46-be47c4bc7762,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731046,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731046@7rkd12.onmicrosoft.com,8/4/2026 5:21:24 PM,-,prj_Group Site-731046,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/prj_groupsite-731046,0.00,0.00,None,Off,1,1,8/4/2026 7:27:32 PM,660b2d58-d4db-4aea-bdbd-82b793fecf9d,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
prj_Group Site-731047,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,prj_groupsite-731047@7rkd12.onmicrosoft.com,8/4/2026 5:21:17 PM,-,prj_Group Site-731047,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_groupsite-731047,0.00,0.00,None,Off,1,1,8/5/2026 9:14:15 AM,26da1133-b665-47ed-8579-7a2c049576db,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
